,Unnamed: 0,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone,punctuation,upper
0,6527,567801079388471296,positive,0.6679999999999999,,0.0,Southwest,,gitmo234,,0,"@SouthwestAir your social media team just said ""sorry"". Thankfully submitting a complaint got resolution from an amazing rep who called.",,2015-02-17 13:41:41 -0800,,Eastern Time (US & Canada),0,0
1,5126,569324035835711489,positive,0.6972,,,Southwest,,AStempleimages,,0,@SouthwestAir Thx for the GRAND view today! FLT 3825 SEATAC to PHX. #GrandCanyon #Arizona #Wow #Love #Photography http://t.co/D7pQOUAtdF,,2015-02-21 18:33:22 -0800,"San Juan Island, WA",Pacific Time (US & Canada),1,4
2,12138,570279036582109184,positive,1.0,,,American,,hooton,,0,@AmericanAir awesome. Thanks!,,2015-02-24 09:48:12 -0800,"Little Rock, AR",Central Time (US & Canada),1,0
3,10915,568786315820470272,positive,1.0,,,US Airways,,rzlevinson,,0,@USAirways thanks for helping with #reFlight Booking Problems #Cancelled Flightedflight Yvonne Anthony.  You will help us get to Tel Aviv on time.  #HappyFriday,,2015-02-20 06:56:39 -0800,,,0,0
4,13504,569846356409339906,positive,1.0,,,American,,LisaMitchL,,0,@AmericanAir thank you for doing the best you could to get me rebooked. Agent on phone &amp; addtl resolution on DM was very much appreciated.,,2015-02-23 05:08:53 -0800,Indianapolis,Eastern Time (US & Canada),0,1
5,7855,569176746735632384,positive,0.6469,,,Delta,,princessmarapao,,0,"@JetBlue im in a session presented by one of your beloved travelers, @paulgordonbrown,I see why you love him so much http://t.co/vv8cFyhKVb",,2015-02-21 08:48:05 -0800,"Virginia Beach, VA",Eastern Time (US & Canada),0,0
6,8939,567732811772080129,positive,0.701,,0.0,Delta,,leighericam,,0,@JetBlue well lucky I only fly JB..I guess I would be even more squished on any other airline 😞,,2015-02-17 09:10:24 -0800,NYC | NOLA  ,,0,3
7,8483,568213769098108928,positive,1.0,,,Delta,,RogerSaintange,,0,@JetBlue wow you guys answer people wow you care I love jet blue,,2015-02-18 17:01:34 -0800,,Pacific Time (US & Canada),0,1
8,7305,569675848770408448,positive,1.0,,,Delta,,StephanieHC85,,0,@JetBlue Love you guys😍😍😍 http://t.co/3X9NRUOvtS,,2015-02-22 17:51:21 -0800,Mexico-Colombia,,0,0
9,1626,569641346316640256,positive,1.0,,,United,,DJTouf,,0,@united Resolved. Over hour of work on  ground &amp; somehow the system reset itself during takeoff. I appreciate the quick response/service.,"[41.97890473, -87.91027352]",2015-02-22 15:34:15 -0800,"Buffalo, NY",,0,1
