,sentimentScore_Vader,sentimentScore_TextBlob,upper,punctuation,hastags,airline_sentiment
5606,0.0,0.0,0,0,0,neutral
1476,-0.3382,0.0,1,1,0,positive
4374,0.7543,0.5,0,0,0,negative
6280,0.0,0.0,0,0,1,neutral
3573,0.1531,-0.03571428571428571,0,0,0,negative
6446,0.0,0.25,0,1,0,neutral
2426,-0.3313,0.0,1,0,0,negative
5354,0.0,0.4,0,0,0,neutral
4465,0.4657,0.5,1,0,0,negative
997,0.7901,0.45,8,1,0,positive
1550,0.9309,1.0,1,1,0,positive
4594,0.4939,0.2,1,0,0,negative
5803,0.0,0.0,0,0,0,neutral
4868,0.0,0.8,0,0,0,neutral
514,0.4767,0.4,2,0,0,positive
6973,0.5255,0.5,1,1,0,neutral
6794,0.2382,0.2,0,0,0,neutral
3694,-0.4019,-0.7,0,0,0,negative
3905,-0.6588,-0.5,0,1,1,negative
4882,0.0,0.0,0,2,0,neutral
6333,-0.25,0.0,0,0,0,neutral
679,0.7627,0.2,1,4,1,positive
6058,0.2023,0.0,0,0,0,neutral
5658,0.3939,0.0,0,0,0,neutral
6273,0.25,-0.0625,1,0,0,neutral
1538,0.7871,0.45,2,1,0,positive
1764,0.0,0.0,0,0,0,positive
5376,0.6124,0.0,0,0,0,neutral
2868,0.0772,-0.4,2,0,0,negative
1356,0.4215,0.8,0,0,1,positive
2596,-0.4211,-0.24444444444444446,0,0,0,negative
777,0.0,0.1,0,0,0,positive
2269,0.5574,0.2674242424242424,0,0,3,positive
602,0.4738,0.0,1,2,1,positive
4261,0.0516,0.0,0,0,0,negative
5941,0.0,0.0,2,0,4,neutral
6205,0.1779,-0.1,0,0,0,neutral
842,0.8977,1.0,0,1,0,positive
3217,-0.5423,-0.1625,1,0,0,negative
3988,0.6597,0.2,1,0,1,negative
3071,-0.5719,0.0,2,0,0,negative
6489,-0.3612,0.25,2,0,0,neutral
1782,0.807,0.525,0,1,0,positive
972,0.4753,0.8,0,1,1,positive
6882,0.4404,0.15000000000000002,2,0,0,neutral
308,0.807,0.75,0,1,0,positive
2534,0.0,0.0,1,1,0,negative
4954,0.0,-0.025,2,0,0,neutral
4318,0.2406,0.08333333333333333,0,0,0,negative
6338,0.0,0.0,0,0,0,neutral
1205,0.7351,0.16666666666666669,0,0,0,positive
4969,0.0,0.0,4,0,4,neutral
2478,0.0,0.25,1,0,0,negative
1006,0.7644,0.7500000000000001,0,1,0,positive
5315,0.4404,0.2,2,0,0,neutral
3202,-0.8481,-0.14999999999999997,0,0,0,negative
1307,0.4389,0.625,0,1,0,positive
1016,0.0,1.0,0,0,1,positive
4116,-0.7579,-0.35,1,0,0,negative
1694,0.8217,0.638888888888889,1,2,0,positive
513,0.6679,0.390625,2,3,0,positive
3077,0.0762,0.25,0,0,0,negative
5337,0.0,0.0,0,0,0,neutral
3806,-0.5267,-1.0,1,0,0,negative
3242,-0.3164,0.0,0,1,0,negative
4988,0.0,0.0,1,0,1,neutral
6651,-0.3506,0.5,2,0,0,neutral
233,0.6114,0.625,0,1,0,positive
4929,0.8172,0.0,2,1,0,neutral
1507,0.9484,0.6,0,2,0,positive
2468,-0.3182,0.0,0,0,0,negative
6078,0.3612,0.0,6,0,0,neutral
3601,0.2003,-0.024999999999999994,7,1,0,negative
3392,0.0258,0.0,0,0,0,negative
4326,0.4655,0.08333333333333333,1,0,0,negative
7044,0.4423,0.8,0,0,0,neutral
928,0.6251,0.32916666666666666,0,1,0,positive
1140,0.8955,0.3333333333333333,1,1,0,positive
2520,-0.3919,0.0,0,0,0,negative
5822,0.0,0.1,0,0,1,neutral
2930,0.0,0.0,0,0,0,negative
2222,0.9117,0.5833333333333334,3,1,0,positive
6891,-0.3597,0.2,0,0,0,neutral
5555,0.4404,0.43333333333333335,0,0,0,neutral
814,0.8957,0.7000000000000001,0,0,1,positive
4250,0.3374,-0.1,1,0,0,negative
5416,0.25,0.0,3,0,0,neutral
4459,-0.6892,-1.0,3,2,1,negative
4596,0.7871,0.35,2,1,0,negative
6398,0.0,0.0,0,0,0,neutral
7048,0.4019,0.0,0,0,0,neutral
2098,0.9693,0.5416666666666666,3,3,0,positive
