,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
13726,569733572606763008,positive,0.6424,,0.0,American,,Hoffbuhr,,0,@AmericanAir thanks for following up. I think it's fair to refund the ticket price and the two one way rental cars I had to buy.,,2015-02-22 21:40:43 -0800,,Arizona
9490,569909058250997760,positive,1.0,,,US Airways,,The_BlueAnchor,,0,@USAirways we called and were able to get rescheduled. Thank you for the quick responses today!!,,2015-02-23 09:18:02 -0800,"Dallas, TX",Central Time (US & Canada)
493,567753757702647810,positive,1.0,,,Virgin America,,Perceptions,,0,@VirginAmerica really wish you'd fly out of #Fargo @fargoairport those fares are amazings,,2015-02-17 10:33:38 -0800,"Fargo, ND ( & Tucson, AZ)",Central Time (US & Canada)
8715,567907212154118145,positive,1.0,,,Delta,,bekiweki,,0,"@JetBlue Also, thanks for your prompt replies. I'm really impressed--and you're not just brushing me off. Much appreciated!",,2015-02-17 20:43:25 -0800,"Provo, UT",Central Time (US & Canada)
505,570307847281614848,positive,1.0,,,United,,CoreyAStewart,,0,@united Thanks for taking care of that MR!! Happy customer.,,2015-02-24 11:42:41 -0800,"Richmond, VA",Eastern Time (US & Canada)
4979,569586743831191552,positive,1.0,,,Southwest,,danihampton,,0,@SouthwestAir you guys rule. I will DM you. &lt;3 Thank you.,,2015-02-22 11:57:16 -0800,,Arizona
4872,569671596744380416,positive,1.0,,,Southwest,,MNTmoney91,,0,@SouthwestAir constantly providing wonderful views and service! #SouthwestLuv http://t.co/9UNxqOTzIK,,2015-02-22 17:34:27 -0800,MINNESOTA,Eastern Time (US & Canada)
8489,568209287517835265,positive,0.6661,,,Delta,,NickTypesWords,,4,"It really is nice, though. The snack fridge…that you can just get up and take stuff out, like a dorm common room, is genius. @JetBlue",,2015-02-18 16:43:45 -0800,Inquiries: CAA  •  Miller PR ,
5580,568884252110159873,positive,1.0,,,Southwest,,liberapertus,,0,"@SouthwestAir   Happily, flight 1625 was not delayed when a cockpit visit blew my four-yr-old's mind. Thanks, Cap'n! http://t.co/C8mqEzXVdH",,2015-02-20 13:25:49 -0800,"St. Paul, MN",Central Time (US & Canada)
11598,567897182545686528,positive,1.0,,,US Airways,,lbrc133,,0,@USAirways Shout out to the red-headed gate agent for flt 3389 from DCA to CHS at 7:10 tonight. Didn't get her name but she was great!,,2015-02-17 20:03:33 -0800,Massachusetts,Eastern Time (US & Canada)
2866,568855505747095552,positive,0.6639,,0.0,United,,YouSoFancy,,0,@united On the plane but thanks! Maybe don't let so many people check in by themselves - teeming with morons.,,2015-02-20 11:31:36 -0800,Being not the one,Pacific Time (US & Canada)
6802,570246294582771712,positive,1.0,,,Delta,,Ruth_Slobodin,,0,"“@JetBlue: @Ruth_Slobodin Why not? We'd sure love to see you, Ruth! #JustDoIt #YouKnowYouWantTo ;)” you know me too well 💘",,2015-02-24 07:38:05 -0800,,Atlantic Time (Canada)
7432,569614500044918784,positive,0.6472,,,Delta,,ChrisDonahoe,,0,"@JetBlue btw, Robin Hayes is speaking at next month's @USChamber aviation summit. He ought to give a shout out to his Twitter team. You rock",,2015-02-22 13:47:34 -0800,"Washington, D.C.",Quito
1336,569815182265978880,positive,1.0,,,United,,domdelfino,,0,@united thanks for the upgrade today great way to start my week! Cc: @CiscoJimFrench @cobedien,,2015-02-23 03:05:00 -0800,DOM-ination,Quito
2479,569178715051188226,positive,1.0,,,United,,argrenier,,0,"@united Wasn't frustrating! Well, not in any way reLate Flightd to y'all, anyway. Impressed that I made it.",,2015-02-21 08:55:55 -0800,"Washington, D.C.",
7274,569702567573368832,positive,1.0,,,Delta,,jessbutl,,0,Kudos well deserved! Just wish the rest of my @JetBlue experience today measured up to their example!,,2015-02-22 19:37:31 -0800,"Brooklyn, NY",
4973,569589454194790400,positive,0.6536,,,Southwest,,hlirvine,,0,@SouthwestAir is hosting an @TheAcademy party in the terminal in Atlanta. #peanutsonaplatter,,2015-02-22 12:08:02 -0800,Brooklyn,Eastern Time (US & Canada)
12288,570241221303468032,positive,1.0,,,American,,ShpprMktMichael,,0,@AmericanAir my boss is :),,2015-02-24 07:17:56 -0800,USA,
5760,568639461648502784,positive,0.6809,,,Southwest,,jdbwaffles,,0,"@SouthwestAir Flying with you in about 2 weeks, bringing blankets bc it's freezing!😜",,2015-02-19 21:13:07 -0800,,
10015,569572184768835585,positive,1.0,,,US Airways,,andy_esworthy,,0,"@USAirways Painless and effortless flight from Indy to PHL... Our flight attendant, Tory, was fantastic. Give that lady a raise ASAP!",,2015-02-22 10:59:25 -0800,Philly to NY/NJ,Eastern Time (US & Canada)
8244,568560914779078656,positive,1.0,,,Delta,,dcooode,,0,"@JetBlue Although it wasn't totally the answer I was looking for, I appreciate the prompt response.",,2015-02-19 16:01:00 -0800,,
4629,569975026239164416,positive,0.6676,,0.0,Southwest,,KatePatay,,0,@SouthwestAir Your crew on 3138 is doing a great job of keeping everyone informed during the delays #givethemraises,"[39.50503682, -119.77382751]",2015-02-23 13:40:10 -0800,"Reno, NV",Alaska
11288,568239978276360192,positive,1.0,,,US Airways,,dream_weaver96,,0,@USAirways thank you for fixing my 5 hour delay.,"[35.22209167, -80.95237732]",2015-02-18 18:45:42 -0800,Murfreesboro- Memphis  ,Central Time (US & Canada)
12996,569964493066919936,positive,0.6537,,0.0,American,,MikeThomas_Says,,0,@AmericanAir thanks. Delivery status??,,2015-02-23 12:58:19 -0800,DC,
8263,568547839636332544,positive,1.0,,,Delta,,SmithsShannon,,0,@JetBlue offers hot tea and coffee...at the gate! You guys make me wonder why I have ever flown any other airlines! ☕✈👍,,2015-02-19 15:09:02 -0800,MA & NJ,Eastern Time (US & Canada)
9625,569777311475765248,positive,1.0,,,US Airways,,Logunov_Daniil,,0,@USAirways YOU ARE THE BEST!!! YOU ARE AMAZING!!! FOLLOW ME PLEASE;)🙏🙏🙏,,2015-02-23 00:34:31 -0800,"Russia, Россия",Abu Dhabi
5664,568828335922356224,positive,0.6742,,0.0,Southwest,,I_LuvMy_3Girls,,0,@SouthwestAir That guy was the flight attendant on my last flight… he was hilarious! ☺,,2015-02-20 09:43:38 -0800,South ~O-H-I-O~ Side,Eastern Time (US & Canada)
5054,569487788753555456,positive,1.0,,,Southwest,,mardigraschic,,0,"@SouthwestAir Great flight yesterday from MSY to AUS!! Thank you for such great safety,service and beautiful skies!! http://t.co/X1EqYAHfvZ",,2015-02-22 05:24:04 -0800,nola/beantown,Hawaii
8358,568441576206286848,positive,0.6989,,,Delta,,kzone7,,0,@JetBlue THANKS!! Her 80th bday is Saturday. We're having an aviation themed surprise party for her.,,2015-02-19 08:06:47 -0800,"Long Island, NY",Eastern Time (US & Canada)
11426,568124226135130112,positive,0.6556,,,US Airways,,AndrwM,,0,.@USAirways thanks!,,2015-02-18 11:05:45 -0800,"Greenville, SC",Eastern Time (US & Canada)
11818,567737598115082241,positive,0.679,,,US Airways,,mnardini1,,0,@usairways #crew keeping safety top of mind in CLT. http://t.co/a0YoSJHZMc,,2015-02-17 09:29:26 -0800,DC,Eastern Time (US & Canada)
4050,567850537716092928,positive,0.6857,,0.0,United,,jtor0713,,0,@united - I think she was having a rough moment w/ a bad passenger from an earlier flight. Things got considerably better. Thanks!,,2015-02-17 16:58:13 -0800,New York ,Atlantic Time (Canada)
6857,570137183442608128,positive,0.6554,,,Delta,,BonnieBitchh,,0,@JetBlue sure is 💙,,2015-02-24 00:24:31 -0800,NYC ,Central Time (US & Canada)
2578,569027718626480128,positive,1.0,,,United,,MERBARAT,,0,"@united ok, have sent u info via DM. I appreciate your help and consideration. 😊","[41.86591706, -87.6231238]",2015-02-20 22:55:54 -0800,"Chicago, IL",Central Time (US & Canada)
8105,568785094430883840,positive,1.0,,,Delta,,AlanaMYzola,,0,@JetBlue great flight! Great view! :-) http://t.co/Yxn00pnOav,,2015-02-20 06:51:48 -0800,,
7760,569271994212069376,positive,1.0,,,Delta,,geraldineledan,,0,@JetBlue Exciting times ahead! 😁🎉,"[40.67851205, -73.43465391]",2015-02-21 15:06:34 -0800,"Long Island, New York",Eastern Time (US & Canada)
5483,568951532252585987,positive,1.0,,,Southwest,,kurtmilne,,0,@SouthwestAir rocks! Open letter to flight attendant. http://t.co/zFrOINPSzI  &lt; my child was inspired.  Thank you.,,2015-02-20 17:53:10 -0800,,Pacific Time (US & Canada)
11186,568449520645906432,positive,1.0,,,US Airways,,CakeNDeath,,0,"@USAirways on the DL, send Ethan some new pants and some ""white revive"" laundry tabs. He's a great guy, good crew, he's just, err, single.",,2015-02-19 08:38:21 -0800,Old City Philly,
12089,570296572375900160,positive,1.0,,,American,,TheVirtualJosh,,0,"@AmericanAir yes yes yes,so glad to be headed home!",,2015-02-24 10:57:53 -0800,,
